,sat_id,cluster_id,last_time
0,0,0,2014-01-31T23:40:39.531
1,0,1,2014-01-31T23:46:27.044
2,0,2,2014-01-31T23:52:14.557
3,0,3,2014-01-31T23:58:02.070
4,0,4,2014-01-31T21:44:49.273
5,0,5,2014-01-31T21:50:36.786
6,0,6,2014-01-31T21:56:24.299
7,0,7,2014-01-31T22:02:11.812
8,0,8,2014-01-31T22:07:59.325
9,0,9,2014-01-31T22:13:46.837
10,0,10,2014-01-31T22:19:34.350
11,0,11,2014-01-31T22:25:21.863
12,0,12,2014-01-31T22:31:09.376
13,0,13,2014-01-31T22:36:56.889
14,0,14,2014-01-31T22:42:44.402
15,0,15,2014-01-31T22:48:31.915
16,0,16,2014-01-31T22:54:19.428
17,0,17,2014-01-31T23:00:06.941
18,0,18,2014-01-31T23:05:54.454
19,0,19,2014-01-31T23:11:41.967
20,0,20,2014-01-31T23:17:29.480
21,0,21,2014-01-31T23:23:16.992
22,0,22,2014-01-31T23:29:04.505
23,0,23,2014-01-31T23:34:52.018
24,1,0,2014-01-31T22:58:55.561
25,1,1,2014-01-31T23:07:48.801
26,1,2,2014-01-31T23:16:42.042
27,1,3,2014-01-31T23:25:35.283
28,1,4,2014-01-31T23:34:28.523
29,1,5,2014-01-31T23:43:21.764
30,1,6,2014-01-31T23:52:15.005
31,1,7,2014-01-31T20:27:50.468
32,1,8,2014-01-31T20:36:43.709
33,1,9,2014-01-31T20:45:36.949
34,1,10,2014-01-31T20:54:30.190
35,1,11,2014-01-31T21:03:23.431
36,1,12,2014-01-31T21:12:16.672
37,1,13,2014-01-31T21:21:09.912
38,1,14,2014-01-31T21:30:03.153
39,1,15,2014-01-31T21:38:56.394
40,1,16,2014-01-31T21:47:49.635
41,1,17,2014-01-31T21:56:42.875
42,1,18,2014-01-31T22:05:36.116
43,1,19,2014-01-31T22:14:29.357
44,1,20,2014-01-31T22:23:22.598
45,1,21,2014-01-31T22:32:15.838
46,1,22,2014-01-31T22:41:09.079
47,1,23,2014-01-31T22:50:02.320
48,2,0,2014-01-31T23:43:35.900
49,2,1,2014-01-31T23:55:59.626
50,2,2,2014-01-31T19:10:53.914
